name,n_nodes,p_f,seed,n_shells,max_shell,mean_degree,shell_sizes
NCP1/p_f=0.39/n=2000/seed=213,2000,0.39,213,21,21,8.931,"{""21"": 76, ""13"": 23, ""20"": 22, ""12"": 32, ""10"": 28, ""15"": 13, ""7"": 83, ""17"": 14, ""19"": 13, ""8"": 39, ""3"": 267, ""9"": 32, ""5"": 119, ""4"": 243, ""18"": 10, ""2"": 408, ""14"": 12, ""16"": 11, ""11"": 18, ""6"": 77, ""1"": 460}"
NCP1/p_f=0.39/n=2000/seed=214,2000,0.39,214,20,20,9.276,"{""20"": 60, ""19"": 41, ""15"": 23, ""11"": 22, ""10"": 24, ""9"": 43, ""18"": 34, ""1"": 460, ""7"": 66, ""2"": 398, ""17"": 12, ""13"": 31, ""14"": 14, ""3"": 304, ""16"": 22, ""6"": 103, ""8"": 71, ""4"": 149, ""12"": 10, ""5"": 113}"
NCP1/p_f=0.39/n=2000/seed=215,2000,0.39,215,21,21,9.254,"{""21"": 60, ""19"": 27, ""20"": 8, ""17"": 24, ""4"": 187, ""16"": 23, ""11"": 31, ""14"": 17, ""13"": 33, ""12"": 31, ""6"": 109, ""7"": 59, ""9"": 28, ""8"": 47, ""10"": 39, ""5"": 137, ""1"": 429, ""3"": 343, ""2"": 349, ""15"": 11, ""18"": 8}"
NCP1/p_f=0.39/n=2000/seed=216,2000,0.39,216,23,23,9.914,"{""21"": 7, ""23"": 92, ""12"": 32, ""13"": 44, ""16"": 14, ""18"": 14, ""10"": 34, ""9"": 46, ""20"": 7, ""17"": 10, ""4"": 198, ""5"": 136, ""11"": 49, ""15"": 19, ""19"": 4, ""6"": 92, ""22"": 9, ""3"": 258, ""8"": 56, ""7"": 55, ""14"": 7, ""2"": 375, ""1"": 442}"
NCP1/p_f=0.39/n=2000/seed=217,2000,0.39,217,19,19,8.837,"{""19"": 66, ""15"": 36, ""18"": 34, ""9"": 33, ""11"": 13, ""17"": 10, ""4"": 209, ""13"": 40, ""16"": 12, ""12"": 16, ""10"": 35, ""7"": 85, ""6"": 126, ""5"": 155, ""8"": 36, ""2"": 339, ""3"": 291, ""14"": 6, ""1"": 458}"
NCP1/p_f=0.39/n=2000/seed=218,2000,0.39,218,18,18,8.45,"{""18"": 51, ""17"": 31, ""16"": 22, ""11"": 34, ""14"": 11, ""7"": 82, ""12"": 42, ""10"": 30, ""15"": 10, ""9"": 73, ""13"": 21, ""5"": 155, ""4"": 169, ""8"": 55, ""6"": 91, ""3"": 253, ""2"": 403, ""1"": 467}"
NCP1/p_f=0.39/n=2000/seed=219,2000,0.39,219,20,20,9.214,"{""20"": 71, ""19"": 35, ""15"": 25, ""18"": 21, ""13"": 23, ""10"": 42, ""5"": 138, ""9"": 30, ""12"": 31, ""16"": 9, ""7"": 54, ""2"": 373, ""8"": 66, ""6"": 71, ""17"": 10, ""14"": 15, ""4"": 203, ""3"": 313, ""11"": 25, ""1"": 445}"
NCP1/p_f=0.39/n=4000/seed=220,4000,0.39,220,27,27,10.194,"{""27"": 130, ""23"": 8, ""22"": 19, ""18"": 32, ""10"": 80, ""16"": 21, ""20"": 11, ""15"": 28, ""24"": 11, ""14"": 40, ""25"": 8, ""13"": 33, ""17"": 17, ""19"": 34, ""21"": 35, ""26"": 14, ""11"": 52, ""12"": 35, ""7"": 145, ""5"": 249, ""9"": 91, ""6"": 224, ""3"": 618, ""2"": 750, ""8"": 121, ""4"": 317, ""1"": 877}"
NCP1/p_f=0.39/n=4000/seed=221,4000,0.39,221,27,27,10.013,"{""27"": 92, ""25"": 24, ""24"": 19, ""23"": 22, ""19"": 42, ""14"": 33, ""22"": 32, ""16"": 42, ""18"": 29, ""21"": 14, ""9"": 88, ""12"": 53, ""5"": 263, ""13"": 34, ""6"": 209, ""15"": 50, ""17"": 27, ""11"": 30, ""10"": 75, ""7"": 111, ""3"": 542, ""4"": 299, ""2"": 834, ""8"": 111, ""1"": 918, ""26"": 1, ""20"": 6}"
NCP1/p_f=0.39/n=4000/seed=222,4000,0.39,222,23,23,9.079,"{""23"": 105, ""21"": 30, ""14"": 22, ""13"": 23, ""19"": 23, ""11"": 63, ""22"": 21, ""15"": 32, ""7"": 186, ""8"": 110, ""3"": 537, ""2"": 787, ""9"": 101, ""20"": 15, ""18"": 19, ""4"": 376, ""17"": 24, ""10"": 47, ""12"": 57, ""6"": 198, ""5"": 263, ""16"": 21, ""1"": 940}"
NCP1/p_f=0.39/n=4000/seed=223,4000,0.39,223,24,24,9.722,"{""24"": 122, ""23"": 18, ""22"": 20, ""13"": 36, ""16"": 33, ""20"": 24, ""12"": 71, ""10"": 66, ""11"": 50, ""8"": 148, ""17"": 38, ""21"": 10, ""5"": 290, ""18"": 16, ""9"": 91, ""7"": 166, ""14"": 36, ""6"": 184, ""15"": 34, ""4"": 415, ""3"": 553, ""19"": 10, ""2"": 749, ""1"": 820}"
NCP1/p_f=0.39/n=4000/seed=224,4000,0.39,224,19,19,9.438,"{""19"": 166, ""18"": 36, ""7"": 157, ""13"": 44, ""8"": 130, ""17"": 34, ""6"": 193, ""12"": 53, ""16"": 39, ""11"": 98, ""9"": 103, ""14"": 60, ""10"": 76, ""3"": 553, ""5"": 216, ""15"": 34, ""2"": 802, ""4"": 352, ""1"": 854}"
NCP1/p_f=0.39/n=4000/seed=225,4000,0.39,225,18,18,8.621,"{""18"": 92, ""16"": 28, ""17"": 51, ""14"": 53, ""12"": 83, ""13"": 46, ""11"": 74, ""10"": 93, ""15"": 42, ""9"": 67, ""8"": 121, ""6"": 192, ""7"": 186, ""5"": 257, ""2"": 749, ""4"": 373, ""3"": 621, ""1"": 872}"
NCP1/p_f=0.39/n=4000/seed=226,4000,0.39,226,25,25,9.562,"{""25"": 67, ""20"": 50, ""23"": 39, ""21"": 34, ""22"": 18, ""11"": 52, ""14"": 37, ""17"": 25, ""15"": 26, ""24"": 2, ""13"": 32, ""19"": 30, ""16"": 19, ""18"": 21, ""3"": 545, ""10"": 79, ""6"": 191, ""8"": 110, ""9"": 91, ""4"": 391, ""7"": 162, ""12"": 42, ""2"": 779, ""5"": 267, ""1"": 891}"
NCP1/p_f=0.39/n=4000/seed=227,4000,0.39,227,23,23,9.553,"{""23"": 79, ""18"": 38, ""10"": 79, ""22"": 72, ""20"": 12, ""17"": 22, ""16"": 41, ""9"": 103, ""6"": 157, ""12"": 52, ""14"": 42, ""4"": 387, ""7"": 142, ""15"": 34, ""13"": 32, ""11"": 66, ""3"": 582, ""21"": 12, ""19"": 24, ""8"": 123, ""5"": 241, ""2"": 784, ""1"": 876}"
NCP1/p_f=0.39/n=4000/seed=228,4000,0.39,228,28,28,9.935,"{""28"": 132, ""15"": 23, ""17"": 20, ""26"": 21, ""25"": 14, ""4"": 415, ""13"": 35, ""27"": 9, ""8"": 139, ""10"": 74, ""9"": 63, ""21"": 14, ""12"": 42, ""6"": 233, ""18"": 20, ""16"": 15, ""1"": 877, ""7"": 109, ""20"": 8, ""14"": 33, ""23"": 14, ""19"": 18, ""5"": 271, ""11"": 55, ""3"": 540, ""2"": 786, ""22"": 14, ""24"": 6}"
NCP1/p_f=0.39/n=4000/seed=229,4000,0.39,229,29,29,10.344,"{""29"": 78, ""28"": 15, ""22"": 12, ""27"": 32, ""25"": 15, ""11"": 67, ""15"": 30, ""16"": 22, ""23"": 19, ""18"": 17, ""21"": 42, ""14"": 54, ""19"": 25, ""17"": 40, ""13"": 50, ""20"": 7, ""9"": 66, ""10"": 60, ""5"": 291, ""8"": 85, ""3"": 516, ""6"": 203, ""12"": 51, ""4"": 366, ""7"": 169, ""2"": 759, ""1"": 894, ""26"": 8, ""24"": 7}"
NCP1/p_f=0.39/n=4000/seed=230,4000,0.39,230,23,23,9.779,"{""22"": 81, ""23"": 74, ""20"": 38, ""16"": 34, ""18"": 41, ""11"": 61, ""7"": 136, ""13"": 46, ""15"": 38, ""19"": 22, ""21"": 9, ""10"": 64, ""14"": 59, ""4"": 378, ""8"": 111, ""9"": 89, ""12"": 49, ""5"": 207, ""6"": 224, ""17"": 18, ""2"": 820, ""3"": 494, ""1"": 907}"
NCP1/p_f=0.39/n=4000/seed=231,4000,0.39,231,25,25,9.496,"{""24"": 28, ""25"": 59, ""12"": 62, ""15"": 34, ""19"": 30, ""9"": 99, ""17"": 26, ""20"": 54, ""14"": 42, ""5"": 292, ""16"": 42, ""21"": 13, ""6"": 197, ""3"": 553, ""18"": 17, ""2"": 732, ""4"": 417, ""8"": 101, ""7"": 167, ""10"": 64, ""11"": 65, ""23"": 4, ""1"": 854, ""13"": 46, ""22"": 2}"
NCP1/p_f=0.39/n=4000/seed=232,4000,0.39,232,28,28,9.452,"{""28"": 74, ""9"": 123, ""13"": 44, ""27"": 22, ""21"": 18, ""17"": 17, ""10"": 73, ""20"": 24, ""18"": 16, ""14"": 58, ""24"": 9, ""25"": 5, ""26"": 9, ""19"": 16, ""16"": 26, ""23"": 12, ""1"": 910, ""7"": 146, ""5"": 297, ""8"": 81, ""6"": 153, ""3"": 559, ""4"": 445, ""22"": 11, ""2"": 737, ""12"": 37, ""11"": 60, ""15"": 18}"
NCP1/p_f=0.39/n=4000/seed=233,4000,0.39,233,25,25,9.578,"{""25"": 68, ""23"": 29, ""24"": 43, ""19"": 44, ""20"": 27, ""21"": 19, ""17"": 21, ""18"": 18, ""14"": 41, ""15"": 27, ""16"": 26, ""10"": 63, ""5"": 271, ""13"": 41, ""8"": 94, ""9"": 61, ""11"": 64, ""22"": 13, ""3"": 543, ""12"": 43, ""6"": 211, ""7"": 135, ""4"": 434, ""1"": 887, ""2"": 777}"
NCP1/p_f=0.39/n=4000/seed=234,4000,0.39,234,25,25,9.274,"{""25"": 74, ""21"": 50, ""22"": 10, ""19"": 18, ""7"": 128, ""24"": 22, ""23"": 18, ""12"": 64, ""10"": 58, ""15"": 30, ""17"": 19, ""14"": 32, ""13"": 29, ""18"": 13, ""16"": 27, ""4"": 440, ""5"": 260, ""8"": 101, ""3"": 550, ""9"": 96, ""11"": 68, ""6"": 207, ""20"": 12, ""1"": 902, ""2"": 772}"
NCP1/p_f=0.39/n=4000/seed=235,4000,0.39,235,22,22,9.243,"{""22"": 49, ""21"": 61, ""20"": 19, ""4"": 344, ""9"": 90, ""5"": 281, ""19"": 34, ""13"": 43, ""16"": 48, ""15"": 38, ""17"": 42, ""6"": 236, ""14"": 39, ""12"": 34, ""10"": 67, ""8"": 97, ""7"": 154, ""3"": 553, ""11"": 92, ""18"": 15, ""2"": 757, ""1"": 907}"
NCP1/p_f=0.39/n=4000/seed=236,4000,0.39,236,24,24,9.159,"{""24"": 96, ""22"": 13, ""19"": 20, ""11"": 87, ""23"": 29, ""13"": 26, ""16"": 21, ""12"": 36, ""20"": 29, ""7"": 132, ""14"": 35, ""15"": 33, ""9"": 83, ""17"": 24, ""5"": 286, ""18"": 31, ""6"": 167, ""8"": 87, ""3"": 610, ""10"": 45, ""4"": 433, ""2"": 806, ""1"": 859, ""21"": 12}"
NCP1/p_f=0.39/n=4000/seed=237,4000,0.39,237,25,25,9.928,"{""25"": 129, ""20"": 21, ""14"": 36, ""10"": 92, ""21"": 12, ""15"": 28, ""13"": 61, ""17"": 20, ""9"": 119, ""12"": 44, ""2"": 783, ""24"": 15, ""18"": 37, ""6"": 176, ""19"": 23, ""8"": 108, ""11"": 55, ""16"": 25, ""22"": 8, ""5"": 273, ""7"": 127, ""23"": 17, ""4"": 401, ""3"": 530, ""1"": 860}"
NCP1/p_f=0.39/n=4000/seed=238,4000,0.39,238,27,27,9.893,"{""27"": 101, ""14"": 36, ""26"": 19, ""25"": 22, ""10"": 81, ""22"": 21, ""20"": 18, ""9"": 98, ""19"": 24, ""24"": 16, ""4"": 386, ""8"": 82, ""18"": 26, ""16"": 23, ""23"": 19, ""17"": 30, ""21"": 17, ""7"": 119, ""15"": 25, ""2"": 813, ""13"": 43, ""11"": 46, ""12"": 44, ""3"": 580, ""6"": 165, ""5"": 255, ""1"": 891}"
NCP1/p_f=0.39/n=4000/seed=239,4000,0.39,239,25,25,9.762,"{""25"": 46, ""24"": 81, ""18"": 16, ""22"": 26, ""14"": 24, ""23"": 28, ""21"": 28, ""11"": 63, ""16"": 25, ""13"": 24, ""15"": 31, ""17"": 16, ""19"": 22, ""12"": 65, ""10"": 64, ""20"": 20, ""5"": 271, ""6"": 184, ""3"": 585, ""9"": 132, ""8"": 101, ""4"": 352, ""7"": 137, ""1"": 913, ""2"": 746}"
