name,n_nodes,p_f,seed,n_shells,max_shell,mean_degree,shell_sizes
NCP1/p_f=0.35/n=4000/seed=75,4000,0.35,75,11,11,5.631,"{""11"": 47, ""9"": 98, ""10"": 20, ""7"": 181, ""6"": 160, ""8"": 61, ""5"": 357, ""4"": 434, ""3"": 660, ""2"": 921, ""1"": 1061}"
NCP1/p_f=0.35/n=4000/seed=76,4000,0.35,76,9,9,5.497,"{""8"": 206, ""1"": 1057, ""7"": 127, ""5"": 284, ""2"": 921, ""6"": 303, ""3"": 668, ""9"": 21, ""4"": 413}"
NCP1/p_f=0.35/n=4000/seed=77,4000,0.35,77,10,10,5.575,"{""10"": 28, ""9"": 90, ""6"": 268, ""8"": 96, ""7"": 203, ""5"": 254, ""3"": 605, ""2"": 914, ""1"": 1066, ""4"": 476}"
NCP1/p_f=0.35/n=4000/seed=78,4000,0.35,78,11,11,5.87,"{""11"": 93, ""8"": 99, ""6"": 245, ""7"": 122, ""10"": 54, ""5"": 288, ""3"": 647, ""9"": 46, ""4"": 433, ""1"": 1011, ""2"": 962}"
NCP1/p_f=0.35/n=4000/seed=79,4000,0.35,79,10,10,5.737,"{""10"": 89, ""9"": 77, ""7"": 144, ""8"": 107, ""6"": 259, ""5"": 284, ""3"": 578, ""4"": 473, ""2"": 966, ""1"": 1023}"
NCP1/p_f=0.37/n=500/seed=80,500,0.37,80,12,12,7.42,"{""12"": 35, ""9"": 13, ""8"": 30, ""7"": 28, ""10"": 1, ""11"": 5, ""6"": 46, ""3"": 68, ""2"": 100, ""5"": 23, ""4"": 38, ""1"": 113}"
NCP1/p_f=0.37/n=500/seed=81,500,0.37,81,8,8,5.624,"{""8"": 28, ""6"": 36, ""3"": 76, ""7"": 23, ""5"": 33, ""2"": 128, ""4"": 57, ""1"": 119}"
NCP1/p_f=0.37/n=500/seed=82,500,0.37,82,10,10,7.216,"{""10"": 38, ""9"": 30, ""7"": 15, ""8"": 18, ""6"": 26, ""3"": 68, ""2"": 99, ""4"": 66, ""5"": 36, ""1"": 104}"
NCP1/p_f=0.37/n=500/seed=83,500,0.37,83,8,8,5.788,"{""7"": 33, ""5"": 37, ""8"": 44, ""3"": 84, ""6"": 25, ""2"": 113, ""4"": 46, ""1"": 118}"
NCP1/p_f=0.37/n=500/seed=84,500,0.37,84,9,9,6.58,"{""9"": 36, ""8"": 33, ""6"": 32, ""7"": 25, ""4"": 44, ""1"": 105, ""5"": 48, ""3"": 65, ""2"": 112}"
NCP1/p_f=0.37/n=500/seed=85,500,0.37,85,12,12,7.368,"{""12"": 31, ""11"": 17, ""10"": 5, ""9"": 18, ""8"": 9, ""7"": 28, ""3"": 69, ""4"": 63, ""2"": 96, ""6"": 24, ""5"": 31, ""1"": 109}"
NCP1/p_f=0.37/n=500/seed=86,500,0.37,86,12,12,6.628,"{""12"": 23, ""11"": 18, ""8"": 14, ""2"": 98, ""7"": 7, ""9"": 18, ""6"": 12, ""5"": 31, ""4"": 58, ""1"": 136, ""3"": 82, ""10"": 3}"
NCP1/p_f=0.37/n=500/seed=87,500,0.37,87,11,11,7.172,"{""11"": 39, ""10"": 3, ""9"": 24, ""5"": 33, ""3"": 74, ""6"": 24, ""4"": 49, ""7"": 20, ""1"": 112, ""2"": 99, ""8"": 23}"
NCP1/p_f=0.37/n=500/seed=88,500,0.37,88,12,12,7.624,"{""12"": 47, ""4"": 53, ""9"": 21, ""5"": 39, ""10"": 3, ""6"": 33, ""2"": 101, ""7"": 26, ""8"": 8, ""3"": 58, ""1"": 110, ""11"": 1}"
NCP1/p_f=0.37/n=500/seed=89,500,0.37,89,9,9,6.416,"{""9"": 52, ""2"": 107, ""6"": 27, ""4"": 50, ""8"": 11, ""5"": 46, ""3"": 67, ""7"": 14, ""1"": 126}"
NCP1/p_f=0.37/n=500/seed=90,500,0.37,90,14,14,7.904,"{""14"": 24, ""13"": 19, ""12"": 5, ""11"": 6, ""8"": 10, ""9"": 7, ""7"": 36, ""10"": 5, ""6"": 21, ""5"": 36, ""2"": 90, ""1"": 101, ""3"": 76, ""4"": 64}"
NCP1/p_f=0.37/n=500/seed=91,500,0.37,91,10,10,6.352,"{""7"": 36, ""10"": 27, ""5"": 14, ""9"": 13, ""3"": 82, ""4"": 56, ""6"": 22, ""8"": 20, ""2"": 114, ""1"": 116}"
NCP1/p_f=0.37/n=500/seed=92,500,0.37,92,16,16,8.132,"{""16"": 35, ""15"": 10, ""13"": 2, ""8"": 16, ""7"": 13, ""11"": 8, ""9"": 8, ""6"": 23, ""3"": 87, ""14"": 7, ""10"": 4, ""4"": 39, ""2"": 90, ""12"": 2, ""5"": 27, ""1"": 129}"
NCP1/p_f=0.37/n=500/seed=93,500,0.37,93,8,8,5.568,"{""8"": 24, ""7"": 5, ""5"": 48, ""6"": 64, ""4"": 46, ""3"": 68, ""2"": 109, ""1"": 136}"
NCP1/p_f=0.37/n=500/seed=94,500,0.37,94,15,15,7.92,"{""15"": 33, ""14"": 9, ""13"": 7, ""10"": 18, ""9"": 4, ""7"": 7, ""5"": 30, ""11"": 4, ""1"": 127, ""4"": 48, ""8"": 10, ""6"": 31, ""12"": 9, ""3"": 57, ""2"": 106}"
NCP1/p_f=0.37/n=500/seed=95,500,0.37,95,11,11,7.452,"{""11"": 43, ""8"": 11, ""10"": 15, ""9"": 19, ""2"": 95, ""4"": 40, ""6"": 37, ""3"": 66, ""5"": 38, ""7"": 16, ""1"": 120}"
NCP1/p_f=0.37/n=500/seed=96,500,0.37,96,11,11,6.444,"{""9"": 21, ""11"": 29, ""7"": 16, ""6"": 12, ""8"": 20, ""3"": 78, ""4"": 51, ""2"": 89, ""5"": 43, ""1"": 139, ""10"": 2}"
NCP1/p_f=0.37/n=500/seed=97,500,0.37,97,11,11,7.188,"{""11"": 20, ""9"": 14, ""10"": 35, ""8"": 11, ""6"": 35, ""2"": 107, ""5"": 45, ""3"": 72, ""4"": 39, ""7"": 13, ""1"": 109}"
NCP1/p_f=0.37/n=500/seed=98,500,0.37,98,11,11,6.416,"{""11"": 33, ""9"": 11, ""2"": 132, ""10"": 14, ""4"": 48, ""5"": 24, ""6"": 15, ""7"": 20, ""8"": 7, ""3"": 65, ""1"": 131}"
NCP1/p_f=0.37/n=500/seed=99,500,0.37,99,12,12,7.456,"{""10"": 7, ""12"": 43, ""5"": 17, ""4"": 66, ""9"": 12, ""11"": 7, ""8"": 14, ""7"": 22, ""6"": 20, ""3"": 83, ""1"": 118, ""2"": 91}"
NCP1/p_f=0.37/n=1000/seed=100,1000,0.37,100,12,12,6.106,"{""12"": 43, ""8"": 44, ""7"": 22, ""9"": 4, ""11"": 11, ""3"": 155, ""5"": 57, ""4"": 104, ""2"": 240, ""6"": 66, ""1"": 249, ""10"": 5}"
NCP1/p_f=0.37/n=1000/seed=101,1000,0.37,101,12,12,7.1,"{""12"": 51, ""10"": 46, ""8"": 30, ""9"": 39, ""6"": 47, ""4"": 96, ""5"": 56, ""7"": 32, ""2"": 178, ""3"": 184, ""1"": 240, ""11"": 1}"
NCP1/p_f=0.37/n=1000/seed=102,1000,0.37,102,12,12,6.764,"{""12"": 31, ""11"": 12, ""9"": 43, ""10"": 11, ""6"": 68, ""8"": 40, ""1"": 219, ""7"": 38, ""5"": 77, ""2"": 225, ""4"": 105, ""3"": 131}"
NCP1/p_f=0.37/n=1000/seed=103,1000,0.37,103,13,13,7.178,"{""11"": 37, ""9"": 48, ""10"": 14, ""4"": 108, ""7"": 32, ""13"": 22, ""8"": 34, ""12"": 9, ""6"": 57, ""3"": 154, ""5"": 65, ""2"": 190, ""1"": 230}"
NCP1/p_f=0.37/n=1000/seed=104,1000,0.37,104,13,13,6.766,"{""13"": 48, ""12"": 12, ""7"": 53, ""11"": 10, ""6"": 69, ""8"": 30, ""10"": 6, ""5"": 44, ""3"": 147, ""9"": 13, ""2"": 254, ""4"": 84, ""1"": 230}"
NCP1/p_f=0.37/n=1000/seed=105,1000,0.37,105,12,12,6.3,"{""11"": 28, ""12"": 29, ""4"": 102, ""10"": 24, ""5"": 61, ""8"": 29, ""9"": 14, ""7"": 36, ""3"": 154, ""6"": 27, ""2"": 236, ""1"": 260}"
NCP1/p_f=0.37/n=1000/seed=106,1000,0.37,106,15,15,7.664,"{""11"": 16, ""15"": 33, ""14"": 14, ""5"": 37, ""7"": 29, ""13"": 11, ""9"": 28, ""8"": 48, ""12"": 26, ""4"": 75, ""3"": 138, ""6"": 47, ""10"": 17, ""1"": 241, ""2"": 240}"
NCP1/p_f=0.37/n=1000/seed=107,1000,0.37,107,11,11,6.828,"{""11"": 51, ""10"": 10, ""7"": 47, ""9"": 33, ""8"": 45, ""5"": 76, ""4"": 106, ""6"": 41, ""3"": 160, ""2"": 215, ""1"": 216}"
NCP1/p_f=0.37/n=1000/seed=108,1000,0.37,108,13,13,7.148,"{""13"": 42, ""7"": 44, ""12"": 18, ""6"": 63, ""11"": 8, ""5"": 61, ""9"": 19, ""10"": 20, ""3"": 151, ""4"": 104, ""2"": 217, ""1"": 226, ""8"": 27}"
NCP1/p_f=0.37/n=1000/seed=109,1000,0.37,109,12,12,6.756,"{""12"": 47, ""10"": 5, ""11"": 19, ""9"": 14, ""8"": 38, ""7"": 47, ""4"": 110, ""3"": 143, ""6"": 48, ""5"": 82, ""2"": 223, ""1"": 224}"
NCP1/p_f=0.37/n=1000/seed=110,1000,0.37,110,12,12,7.454,"{""12"": 58, ""11"": 11, ""4"": 130, ""10"": 39, ""8"": 29, ""2"": 182, ""9"": 22, ""5"": 88, ""7"": 45, ""6"": 30, ""3"": 139, ""1"": 227}"
