lr,seed,a,b,regime,ell_c,source_leaf,target_leaf,distance_d,t_flip,warmup_ok,depth,leaf_size,p,d_param
0.01,0,0.5,0.01,I,5,0,11,4,159,True,5,4,4.0,1
0.01,0,0.5,0.01,I,5,0,12,4,160,True,5,4,4.0,1
0.01,0,0.5,0.01,I,5,0,13,4,164,True,5,4,4.0,1
0.01,0,0.5,0.01,I,5,0,14,4,160,True,5,4,4.0,1
0.01,0,0.5,0.01,I,5,0,15,4,162,True,5,4,4.0,1
0.01,0,0.5,0.01,I,5,0,16,5,222,True,5,4,4.0,1
0.01,0,0.5,0.01,I,5,0,17,5,223,True,5,4,4.0,1
0.01,0,0.5,0.01,I,5,0,18,5,222,True,5,4,4.0,1
0.01,0,0.5,0.01,I,5,0,19,5,221,True,5,4,4.0,1
0.01,0,0.5,0.01,I,5,0,20,5,218,True,5,4,4.0,1
0.01,0,0.5,0.01,I,5,0,21,5,220,True,5,4,4.0,1
0.01,0,0.5,0.01,I,5,0,22,5,222,True,5,4,4.0,1
0.01,0,0.5,0.01,I,5,0,23,5,221,True,5,4,4.0,1
0.01,0,0.5,0.01,I,5,0,24,5,211,True,5,4,4.0,1
0.01,0,0.5,0.01,I,5,0,25,5,211,True,5,4,4.0,1
0.01,0,0.5,0.01,I,5,0,26,5,206,True,5,4,4.0,1
0.01,0,0.5,0.01,I,5,0,27,5,207,True,5,4,4.0,1
0.01,0,0.5,0.01,I,5,0,28,5,212,True,5,4,4.0,1
0.01,0,0.5,0.01,I,5,0,29,5,213,True,5,4,4.0,1
0.01,0,0.5,0.01,I,5,0,30,5,209,True,5,4,4.0,1
0.01,0,0.5,0.01,I,5,0,31,5,211,True,5,4,4.0,1
0.01,1,0.5,0.01,I,5,0,1,1,24,True,5,4,4.0,1
0.01,1,0.5,0.01,I,5,0,2,2,65,True,5,4,4.0,1
0.01,1,0.5,0.01,I,5,0,3,2,64,True,5,4,4.0,1
0.01,1,0.5,0.01,I,5,0,4,3,116,True,5,4,4.0,1
0.01,1,0.5,0.01,I,5,0,5,3,119,True,5,4,4.0,1
0.01,1,0.5,0.01,I,5,0,6,3,120,True,5,4,4.0,1
0.01,1,0.5,0.01,I,5,0,7,3,122,True,5,4,4.0,1
0.01,1,0.5,0.01,I,5,0,8,4,172,True,5,4,4.0,1
0.01,1,0.5,0.01,I,5,0,9,4,169,True,5,4,4.0,1
0.01,1,0.5,0.01,I,5,0,10,4,176,True,5,4,4.0,1
0.01,1,0.5,0.01,I,5,0,11,4,177,True,5,4,4.0,1
0.01,1,0.5,0.01,I,5,0,12,4,174,True,5,4,4.0,1
0.01,1,0.5,0.01,I,5,0,13,4,177,True,5,4,4.0,1
0.01,1,0.5,0.01,I,5,0,14,4,176,True,5,4,4.0,1
0.01,1,0.5,0.01,I,5,0,15,4,172,True,5,4,4.0,1
0.01,1,0.5,0.01,I,5,0,16,5,210,True,5,4,4.0,1
0.01,1,0.5,0.01,I,5,0,17,5,209,True,5,4,4.0,1
0.01,1,0.5,0.01,I,5,0,18,5,209,True,5,4,4.0,1
0.01,1,0.5,0.01,I,5,0,19,5,207,True,5,4,4.0,1
0.01,1,0.5,0.01,I,5,0,20,5,207,True,5,4,4.0,1
0.01,1,0.5,0.01,I,5,0,21,5,205,True,5,4,4.0,1
0.01,1,0.5,0.01,I,5,0,22,5,204,True,5,4,4.0,1
0.01,1,0.5,0.01,I,5,0,23,5,204,True,5,4,4.0,1
0.01,1,0.5,0.01,I,5,0,24,5,199,True,5,4,4.0,1
0.01,1,0.5,0.01,I,5,0,25,5,201,True,5,4,4.0,1
0.01,1,0.5,0.01,I,5,0,26,5,199,True,5,4,4.0,1
0.01,1,0.5,0.01,I,5,0,27,5,198,True,5,4,4.0,1
0.01,1,0.5,0.01,I,5,0,28,5,199,True,5,4,4.0,1
0.01,1,0.5,0.01,I,5,0,29,5,202,True,5,4,4.0,1
0.01,1,0.5,0.01,I,5,0,30,5,201,True,5,4,4.0,1
0.01,1,0.5,0.01,I,5,0,31,5,201,True,5,4,4.0,1
0.01,2,0.5,0.01,I,5,0,1,1,25,True,5,4,4.0,1
0.01,2,0.5,0.01,I,5,0,2,2,91,True,5,4,4.0,1
0.01,2,0.5,0.01,I,5,0,3,2,80,True,5,4,4.0,1
0.01,2,0.5,0.01,I,5,0,4,3,150,True,5,4,4.0,1
