lr,seed,source_leaf,target_leaf,distance_d,t_50,perturbation_norm,source_peak_shift,threshold,has_direct_edge,depth,leaf_size,p
0.1,0,0,17,5,,1.7833098769187927,0.6644513607025146,0.06644513607025147,False,5,4,4.0
0.1,0,0,18,5,18,1.7833098769187927,0.6644513607025146,0.06644513607025147,False,5,4,4.0
0.1,0,0,19,5,18,1.7833098769187927,0.6644513607025146,0.06644513607025147,False,5,4,4.0
0.1,0,0,20,5,37,1.7833098769187927,0.6644513607025146,0.06644513607025147,False,5,4,4.0
0.1,0,0,21,5,5,1.7833098769187927,0.6644513607025146,0.06644513607025147,False,5,4,4.0
0.1,0,0,22,5,,1.7833098769187927,0.6644513607025146,0.06644513607025147,False,5,4,4.0
0.1,0,0,23,5,,1.7833098769187927,0.6644513607025146,0.06644513607025147,False,5,4,4.0
0.1,0,0,24,5,,1.7833098769187927,0.6644513607025146,0.06644513607025147,False,5,4,4.0
0.1,0,0,25,5,,1.7833098769187927,0.6644513607025146,0.06644513607025147,False,5,4,4.0
0.1,0,0,26,5,34,1.7833098769187927,0.6644513607025146,0.06644513607025147,False,5,4,4.0
0.1,0,0,27,5,7,1.7833098769187927,0.6644513607025146,0.06644513607025147,True,5,4,4.0
0.1,0,0,28,5,,1.7833098769187927,0.6644513607025146,0.06644513607025147,False,5,4,4.0
0.1,0,0,29,5,,1.7833098769187927,0.6644513607025146,0.06644513607025147,False,5,4,4.0
0.1,0,0,30,5,17,1.7833098769187927,0.6644513607025146,0.06644513607025147,False,5,4,4.0
0.1,0,0,31,5,17,1.7833098769187927,0.6644513607025146,0.06644513607025147,False,5,4,4.0
0.1,1,0,1,1,1,1.793098896741867,0.5233920216560364,0.05233920216560364,True,5,4,4.0
0.1,1,0,2,2,1,1.793098896741867,0.5233920216560364,0.05233920216560364,True,5,4,4.0
0.1,1,0,3,2,1,1.793098896741867,0.5233920216560364,0.05233920216560364,True,5,4,4.0
0.1,1,0,4,3,1,1.793098896741867,0.5233920216560364,0.05233920216560364,True,5,4,4.0
0.1,1,0,5,3,2,1.793098896741867,0.5233920216560364,0.05233920216560364,True,5,4,4.0
0.1,1,0,6,3,2,1.793098896741867,0.5233920216560364,0.05233920216560364,True,5,4,4.0
0.1,1,0,7,3,1,1.793098896741867,0.5233920216560364,0.05233920216560364,True,5,4,4.0
0.1,1,0,8,4,,1.793098896741867,0.5233920216560364,0.05233920216560364,False,5,4,4.0
0.1,1,0,9,4,45,1.793098896741867,0.5233920216560364,0.05233920216560364,True,5,4,4.0
0.1,1,0,10,4,,1.793098896741867,0.5233920216560364,0.05233920216560364,False,5,4,4.0
0.1,1,0,11,4,,1.793098896741867,0.5233920216560364,0.05233920216560364,False,5,4,4.0
0.1,1,0,12,4,,1.793098896741867,0.5233920216560364,0.05233920216560364,False,5,4,4.0
0.1,1,0,13,4,5,1.793098896741867,0.5233920216560364,0.05233920216560364,False,5,4,4.0
0.1,1,0,14,4,5,1.793098896741867,0.5233920216560364,0.05233920216560364,False,5,4,4.0
0.1,1,0,15,4,5,1.793098896741867,0.5233920216560364,0.05233920216560364,False,5,4,4.0
0.1,1,0,16,5,5,1.793098896741867,0.5233920216560364,0.05233920216560364,False,5,4,4.0
0.1,1,0,17,5,5,1.793098896741867,0.5233920216560364,0.05233920216560364,False,5,4,4.0
0.1,1,0,18,5,2,1.793098896741867,0.5233920216560364,0.05233920216560364,False,5,4,4.0
0.1,1,0,19,5,,1.793098896741867,0.5233920216560364,0.05233920216560364,False,5,4,4.0
0.1,1,0,20,5,5,1.793098896741867,0.5233920216560364,0.05233920216560364,False,5,4,4.0
0.1,1,0,21,5,5,1.793098896741867,0.5233920216560364,0.05233920216560364,False,5,4,4.0
